id,sourceId,name,country,city,category,type,investor,architect,gba,gla,openingYear,scope,businessLines,status,lat,lng,coordinateAccuracy,verification,coordinateSource,geocodeMethod,inferredLocation,source,sourceDate,dataVersion
portfolio-001,1,QTU Mall,Albania,Tirana,Community / Neighborhood Mall,mall,Balkan Finance Investment Group (Balfin),Öncüoğlu Architects,47000.0,27500.0,2005,Retail Strategy | Merchandise Mix | Zoning | Budgeting | RRR Strategy | Design / Architecture Advisory,Advisory,completed,41.3275,19.8187,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-002,2,TEG Mall,Albania,Tirana,Regional Mall,mall,Balkan Finance Investment Group (Balfin),Yazgan Design Architecture,96000.0,50400.0,2011,Retail Strategy | Merchandise Mix | Zoning | Budgeting | RRR Strategy | Design / Architecture Advisory,Advisory,completed,41.31718,19.83129,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-003,3,Mall of Dilmunia,Bahrain,Dilmunia Island,Regional Mall,mall,Dilmunia Mall Development Company W.L.L.,DP Architects,125000.0,40700.0,2020,Retail Strategy | Merchandise Mix | Zoning | Budgeting | Tenant Mix | Leasing | Design / Architecture Advisory,Advisory | Leasing & Sales,completed,26.253,50.636,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-004,4,Abraj Al Bait / Burj Boulevard,Kingdom of Saudi Arabia,Makkah,Integrated / Super-Regional Mall,mixed,"Saudi Bin Laden Group, Ministry of Islamic Affairs",Dar Al-Handasah Architects,75000.0,45000.0,2012,Retail Strategy | Merchandise Mix | Zoning | Budgeting,Advisory,completed,21.4225,39.8262,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-005,5,Al Amer Mall,Kingdom of Saudi Arabia,Al Ahsa,Community / Neighborhood Mall,mall,Abdullah Ali Al Amer & Bros. Trading Co,N/A,60000.0,33100.0,2024,Retail Strategy | Merchandise Mix | Zoning | Budgeting | Tenant Mix | Leasing | Design / Architecture Advisory,Advisory | Leasing & Sales,completed,25.3833,49.5869,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-006,6,Al Rashid Mall,Kingdom of Saudi Arabia,Al Khobar,Regional Mall,mall,Al-Rashid Trading & Contracting Co CJSC,"DLR Group, Architecture & Planning Group (APG)",400000.0,116000.0,1995,Retail Strategy | Merchandise Mix | Zoning | Budgeting | Tenant Mix | Leasing | Design / Architecture Advisory,Advisory | Leasing & Sales,completed,26.2794,50.2083,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-007,7,Al Salam Gardens,Kingdom of Saudi Arabia,Madinah,Lifestyle Centre,mall,Injaz Real Estate Development,N/A,35000.0,25500.0,2024,Retail Strategy | Merchandise Mix | Zoning | Budgeting | Tenant Mix | Leasing | Design / Architecture Advisory,Advisory | Leasing & Sales,completed,24.4686,39.6142,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-008,8,Arkaziya Mall,Kingdom of Saudi Arabia,Dammam,Regional Mall,mall,RIKAZ Properties Co Ltd,N/A,67000.0,44800.0,2026,Retail Strategy | Merchandise Mix | Zoning | Budgeting | Design / Architecture Advisory,Advisory,completed,26.4207,50.0888,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-009,9,Jabal Omar,Kingdom of Saudi Arabia,Makkah,Mixed-Use,mixed,Jabal Omar Development Co,Ateliers Lion,120000.0,50000.0,2017,Retail Strategy | Merchandise Mix | Zoning | Budgeting | RRR Strategy | Design / Architecture Advisory,Advisory,completed,21.41218,39.83636,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-010,10,KEC HUB,Kingdom of Saudi Arabia,Madinah,Regional Mall,mall,Knowledge Economic City Company,Chapman Taylor,180000.0,72000.0,2025,Merchandise Mix | Budgeting | Tenant Mix | Leasing,Advisory | Leasing & Sales,completed,24.45828,39.62459,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-011,11,Madinah Gate,Kingdom of Saudi Arabia,Madinah,Community / Neighborhood Mall,mall,Knowledge Economic City Company,DLR Group,60000.0,23000.0,2024,Merchandise Mix | Budgeting | Tenant Mix | Leasing,Advisory | Leasing & Sales,completed,24.47017,39.5945,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-012,12,Rua al Madinah,Kingdom of Saudi Arabia,Madinah,Masterplan Development,mixed,Rua Al Madinah Holding Company,Gensler,1500000.0,120000.0,2030,Market Research | Brand Sourcing,Advisory | Leasing & Sales,pipeline,24.48199,39.63338,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-013,13,Shorofat Park,Kingdom of Saudi Arabia,Al Khobar,Park / lifestyle,other,Assayel Arabia Real Estate,N/A,150000.0,25000.0,2023,Retail Strategy | Merchandise Mix | Zoning | Budgeting | Tenant Mix | Leasing | Design / Architecture Advisory,Advisory | Leasing & Sales,completed,26.26908,50.21885,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-014,14,Souq 7,Kingdom of Saudi Arabia,Jeddah,Lifestyle Centre,mall,AWJ Holdings,Architectural Centre,800000.0,340000.0,2017,Retail Strategy | Merchandise Mix | Zoning | Budgeting,Advisory,completed,21.4858,39.1925,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-015,15,Ezdan Mall Gharaffa,Qatar,Doha,Regional Mall,mall,Ezdan Holding Group,Boulos Group,125000.0,36000.0,2013,Retail Strategy | Merchandise Mix | Zoning | Budgeting | RRR Strategy | Design / Architecture Advisory,Advisory,completed,25.2854,51.531,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
