entity,missing_field,what_was_searched,best_source_found,why_data_is_still_missing,recommended_next_source,official_information_request_needed,priority,impact_on_geoplatform
All 585 mahallas,POLYGON GEOMETRY (not embedded in these files),"ArcGIS FeatureServer, ArcGIS Hub download API, opendata.tashkent.uz, open.ngis.uz, kadastr.uz, geoBoundaries ADM3/ADM4, HDX COD-AB, GADM, Geofabrik, osm-boundaries","OFFICIAL 585-polygon layer, confirmed live and downloadable with a single unauthenticated HTTP GET","NOT a data gap - a TRANSPORT gap. This session's egress policy returns HTTP 403 for every arcgis.com and .uz host, so the multi-megabyte GeoJSON could not be pulled into the delivery. The attribute table was retrieved through a different channel and is complete.","Run fetch_official_geometry.sh from any unrestricted connection (about 20 seconds), or download from opendata.tashkent.uz for the source of record",NO,P0 - BLOCKING,"Without this there is no map. With it, the map is complete and official."
All 585 mahallas,official_unique_code / mahalla_SOATO_code / STIR,"stat.uz SOATO classifier PDF, nrm.uz, buxgalter.uz, classifiers.gov.uz, lex.uz, data.egov.uz","FHIR CodeSystem mahalla-cs (Ministry of Health / UZINFOCOM), ~1000+ official mahalla codes with UZ/RU/EN names, refreshed 17.09.2026",Not yet joined. Evidence suggests SOATO/MHOBT stops at district level; the real per-mahalla identifier is the code auto-assigned by the MFY yagona reyestri under CoM Reg. 586.,1) Join the FHIR mahalla-cs code list on name+district. 2) Request the MFY yagona reyestri export from O'zbekiston Mahallalari Uyushmasi.,YES for the registry export; NO for the FHIR list,P1 - HIGH,Stable official codes are what make the dataset joinable to any other government dataset over time. Names alone will break on renaming.
All 585 mahallas,"population, households, age structure - EVERY demographic field","stat.uz, toshstat.uz, data.egov.uz, opendata.uz, mahalla.uz, davaktiv.uz, district hokimiyat sites, Citypopulation.de",NONE at mahalla level. Official statistics stop at district level.,"Mahalla-level demography sits in the MFY yagona reyestri and the 'temir daftar' social register, both interagency-only. Nothing is published.",Written request to O'zbekiston Mahallalari Uyushmasi citing CoM Regulation 586 of 15.09.2025; and the 2026 Census detailed output releasing progressively to 2027-07-01 via aholi.uz,YES,P1 - HIGH,"This is the difference between a boundary map and a catchment tool. Until then, district population must be apportioned by mahalla area, which is an assumption, not data."
All 12 districts,SOATO / MHOBT code at grade A or B,"stat.uz SOATO PDF (truncates before the Tashkent section), nrm.uz, buxgalter.uz, classifiers.gov.uz, lex.uz, direct numeric-code searches in UZ Cyrillic and RU",A community GitHub dataset (grade E) giving 1726262-1726294; the official classifier guide confirms only the 1726 parent structure,stat.uz is blocked from this session and its published classifier extract stops at Namangan Region. No act assigning Yangihayot's code was located.,"The State Register of administrative-territorial units created by CoM Resolution 832 of 10.12.2024, held by the Cadastre Agency; or a direct query to the National Statistics Committee",YES,P1 - HIGH,Every SOATO code in this dataset is currently UNVERIFIED. Do not use them as primary keys until confirmed.
6 of 12 districts,"area_km2 (official, post-2021)","gov.uz about pages, district portals, kadastr.uz, city-area searches","Official areas for only Bektemir, Sergeli, Uchtepa, Yashnobod, Shayxontohur, Yangihayot. Sum of official mahalla areas gives a good independent estimate for all 12.","Five hokimiyat 'about' pages are unpopulated. The Wikipedia area set predates the 2021 annexation of 7,853.3 ha and is materially wrong (Bektemir 17.83 vs 34.94 km2).","Cadastral land balance from the Cadastre Agency, or the land-balance annex to the 2021 Kengash decision",POSSIBLY,P2 - MEDIUM,"Once the polygons are attached, authoritative areas can be computed directly from geometry - this gap largely self-resolves."
60 Uchtepa mahallas,area_ha (Maydoni is NULL in the source layer),The source layer itself; cross-checks against other districts,NULL for all 60 Uchtepa records; every other district is populated,"A genuine defect in the published layer, not a retrieval failure. Confirmed independently by two extraction passes.",Compute from the polygon geometry once downloaded; or report the defect to the Tashkent Department of Digital Development,NO,P2 - MEDIUM,Self-resolves the moment geometry is attached.
20 Uchtepa mahallas (ids 495-514),mahalla_name_ru (Russian name),The source layer,"The name_ru field contains Latin-script text rather than Russian Cyrillic, and some values are lossy (e.g. 'Kohna Chponota' vs 'Ko'hna Cho'ponota')",A data-entry defect in the published layer.,"Transliterate from name_uz_kr, or request a correction from the data owner",NO,P3 - LOW,Affects Russian-language display for 20 of 585 records. Flagged per-record in the notes column.
"1 Sergeli mahalla (id 97, Xalqobod)",mahalla_name_ru,The source layer,The field is a single blank space in the source,Defect in the published layer.,Transliterate from name_uz_kr ('Халқобод'),NO,P3 - LOW,Single record.
All 585 mahallas,"mahalla_office_address, chairman contact","goldenpages.uz, yellowpages.uz, top.uz mahalla-committee directories",Commercial directories hold 241-321 mahalla committees with addresses and phones - incomplete and not authoritative,No official directory published. Commercial directories rate-limit and undercount (e.g. Chilonzor 34 listed vs 55 actual).,"MFY yagona reyestri export; or paced crawling of goldenpages.uz rubrics (Mirzo Ulug'bek rubric 107221 already reports exactly 70, matching the official count)",NO,P3 - LOW,"Useful for field work and leasing outreach, not for the core boundary dataset."
All 585 mahallas,"date_created, former_names, legal_document_number per mahalla","lex.uz Kengash decisions, e-qaror.gov.uz, geonom.tashkent.uz",The 2016 decision 124/15-5 gives the historic 505-name register with official codes; the 2023-2024 per-district decisions are known only by date range,The individual 2023-2024 Kengash decision numbers were not located; e-qaror.gov.uz is blocked from this session.,e-qaror.gov.uz - retrieve the 12 district decisions dated 24.11.2023 to 23.10.2024,NO,P2 - MEDIUM,Needed for legal defensibility in client reports that rely on mahalla geography.
2 Olmazor mahallas,final adopted names of the 2023 splits from Olimpiya and Miskin,"gazeta.uz, geonom.tashkent.uz",Shortlist 'Mehr nuri' and 'Islohot' put to public vote Oct 2023; final names not confirmed,geonom.tashkent.uz is blocked from this session.,geonom.tashkent.uz decision archive,NO,P3 - LOW,"The layer already carries 64 Olmazor mahallas including three late-added ids (Xislat, Chamanbog', Kaykovus) - the splits appear to be reflected already."
Tashkent City,2026 district-level population,"toshstat.uz 2026 paths, stat.uz Jan and Apr 2026 releases",Toshstat Jan-Jun 2026 gives a full district table at 2026-07-01; census gives city total only at 2026-01-15,Not missing for 2026-07-01. The CENSUS district breakdown is what is still unpublished.,"2026 Census detailed output via aholi.uz and stat.uz, releasing progressively to 2027-07-01",NO,P2 - MEDIUM,"The census found ~47,000 more people city-wide than the register. The district split of that gap is not yet knowable."
Tashkent City,Status of the proposed 13th district 'Yangi Toshkent',"lex.uz, regulation.gov.uz, Oliy Majlis, gazeta.uz, kun.uz, spot.uz","Draft published 11.11.2023 (19,729.41 ha, ~40 mahallas); no enacting act found; 12 districts confirmed in press listings of 20.04.2026 and 16.09.2026",Not a gap - a NEGATIVE FINDING. It has not been enacted.,Monitor lex.uz and the State Register under CoM 832,NO,P2 - MONITOR,"If enacted it would add a 13th district and ~40 mahallas, invalidating district-level aggregates. Re-check before any 2027 catchment work."
All entities,Licence terms for commercial reuse of the official boundary layer,The ArcGIS item metadata; opendata.tashkent.uz,licenseInfo is EMPTY on the ArcGIS item; credit is 'Open Data Tashkent',No explicit licence published.,Written enquiry to the Tashkent Department of Digital Development (portal operator),YES,P1 - HIGH,A commercial geoanalytics platform cannot rely on data whose reuse terms are unconfirmed. Settle this before launch.
