queue_id,canonical_name,main_category,subcategory,research_section,district,address,latitude,longitude,notes,primary_source,source_url,coordinate_status,verification_status,priority,data_collected_at
RQ-1abef9bbcbc3,Tashkent City Mall,Торговля и рынки,mega-mall / ТРЦ,shopping (ТРЦ и торговые центры) (12 объектов найдено),"Shaykhantahur (Шайхантахурский р-н), within Tashkent City business complex",,,,"Opened 2024; largest and most modern mall in Tashkent, 250+ brands (Zara, Adidas, Bershka, Boss, Calvin Klein, Nike, etc.), 4 floors, cinema, panoramic elevators, at Batyr Zakirov St. 7",tcmall.uz,https://tcmall.uz/ru,Нет координат — геокодировать минимум по двум источникам,Веб-исследование; требуется координатная и ручная проверка,Высокий,2026-07-19
RQ-deef637efa3d,Compass (Compass Mall),Торговля и рынки,ТРЦ / mega-mall,shopping (ТРЦ и торговые центры) (12 объектов найдено),"Bektemir district, Katta Halqa Yoli (Great Ring Road) 17",,,,"Second-largest mall in Tashkent by area (~35,000 sqm), 160+ stores, 5-screen multiplex cinema",compassmall.uz,https://compassmall.uz/cinema/,Нет координат — геокодировать минимум по двум источникам,Веб-исследование; требуется координатная и ручная проверка,Высокий,2026-07-19
RQ-08b8770791a5,Riviera (Riviera Mall / Riviera FEC),Торговля и рынки,ТРЦ (fashion + entertainment center),shopping (ТРЦ и торговые центры) (12 объектов найдено),Nodiry St. 4,,,,"Three-level mall with Tommy Hilfiger, Karl Lagerfeld, Calvin Klein, Lacoste, Swarovski, Skechers, restaurants and a cinema",weproject.media,https://weproject.media/articles/detail/shoping-v-tashkente-luchshie-torgovye-tsentry-v-stolitse-uzbekistana/,Нет координат — геокодировать минимум по двум источникам,Веб-исследование; требуется координатная и ручная проверка,Высокий,2026-07-19
RQ-e47926d4a99a,Next (Next Mall / ТРК NEXT),Торговля и рынки,ТРЦ / family mall,shopping (ТРЦ и торговые центры) (12 объектов найдено),"Yakkasaray district, Babur St. 6",,,,"Known for adjoining 'Ice City' indoor winter theme park with a 1,800 sqm ice rink and Uzbekistan's only indoor ski slope",TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g293968-d6510837-Reviews-Shopping_Mall_Next-Tashkent_Tashkent_Province.html,Нет координат — геокодировать минимум по двум источникам,Веб-исследование; требуется координатная и ручная проверка,Высокий,2026-07-19
RQ-21a291e3ef5d,Poytaxt,Торговля и рынки,ТРЦ (early-format mall),shopping (ТРЦ и торговые центры) (12 объектов найдено),,,,,Described as the very first shopping and entertainment center built in Tashkent; large selection of women's/men's clothing stores and a food court,weproject.media,https://weproject.media/articles/detail/shoping-v-tashkente-luchshie-torgovye-tsentry-v-stolitse-uzbekistana/,Нет координат — геокодировать минимум по двум источникам,Веб-исследование; требуется координатная и ручная проверка,Высокий,2026-07-19
RQ-c83d31bdd988,Mega Planet,Торговля и рынки,ТРЦ (older-format mall),shopping (ТРЦ и торговые центры) (12 объектов найдено),"Yunusabad district, Ahmad Donish St., Yunusabad-11 block, 2B",,,,"One of the first modern shopping centers in Tashkent; 23 women's and 14 men's clothing stores, watches/jewelry/perfume vendors, bowling, cinema",GoldenPages,https://www.goldenpages.uz/en/company/?Id=67064,Нет координат — геокодировать минимум по двум источникам,Веб-исследование; требуется координатная и ручная проверка,Высокий,2026-07-19
RQ-81f0c214c4d7,Vega Centre,Торговля и рынки,ТРЦ,shopping (ТРЦ и торговые центры) (12 объектов найдено),"Yakkasaray district, Shota Rustaveli St. 150",,,,"Clothing, footwear, accessories, textiles, cosmetics/perfume, furniture; entertainment zone with cinema and children's play rooms",turizm.ru,https://www.turizm.ru/uzbekistan/tashkent/dosttype_magazini/shopping_centers/,Нет координат — геокодировать минимум по двум источникам,Веб-исследование; требуется координатная и ручная проверка,Высокий,2026-07-19
RQ-7c444dd63ea9,Samarqand Darvoza (Mall),Торговля и рынки,ТРЦ,shopping (ТРЦ и торговые центры) (12 объектов найдено),"Shaykhontokhur district (old city), Kora-Tash St. 5a",,,,"Located near the old city; budget-friendly stores, supermarket, cafe and a children's entertainment zone",TripAdvisor,https://www.tripadvisor.com/Attraction_Review-g293968-d7179048-Reviews-Mall_Samarkand_Darvoza-Tashkent_Tashkent_Province.html,Нет координат — геокодировать минимум по двум источникам,Веб-исследование; требуется координатная и ручная проверка,Высокий,2026-07-19
RQ-4030d4067899,Alfraganus,Торговля и рынки,ТРЦ / торгово-развлекательный комплекс,shopping (ТРЦ и торговые центры) (12 объектов найдено),Kushkuprik St. 30,,,,Shopping and entertainment complex listed among Tashkent's significant malls,uzum.uz,https://uzum.uz/media/torgovyye-tsentry-v-tashkente/,Нет координат — геокодировать минимум по двум источникам,Веб-исследование; требуется координатная и ручная проверка,Высокий,2026-07-19
RQ-80959ce35927,Parus,Торговля и рынки,ТРЦ,shopping (ТРЦ и торговые центры) (12 объектов найдено),Katartal St. 60A/1,,,,Large mall with well-known brand stores; 4.5 rating from 581 reviews on Yandex Maps,Yandex Maps,https://yandex.ru/maps/org/parus/180116660862/,Нет координат — геокодировать минимум по двум источникам,Веб-исследование; требуется координатная и ручная проверка,Высокий,2026-07-19
