entity,missing_field,what_was_searched,best_source_found,why_data_is_still_missing,recommended_next_source,official_information_request_needed,priority
183 of 585 mahallas,official polygon geometry,open.ngis.uz UZKAD/MAHALLA_UZKAD_DB16 FeatureServer queried for the whole of soato_region=1726 (no bbox or scale limit); groupBy count by district confirms 402 features and 402 distinct cadastral numbers,The cadastre mahalla layer itself (402 of 585 = 68.7%),"The layer is being populated progressively - create_at values for the Tashkent subset run 2026-03-14 to 2026-08-27, i.e. loading was still in progress three weeks before the access date. The 183 absent mahallas are simply not yet published, not deleted.","Re-query the same FeatureServer monthly; coverage should rise. If a deadline applies, request the outstanding cadastral drawings from Davlat kadastr palatasi under Cabinet Res. No. 48 art. 28.",Only if coverage stalls,HIGH
All 585 mahallas,population_total and every demographic field,"stat.uz, siat.stat.uz, api.siat.stat.uz, hudud.stat.uz (all API routes), toshstat.uz, data.egov.uz catalogue and apiClient API, aholi.stat.uz 2026 census release, mahalla.uz (dead domain), Raqamli Mahalla, HDX, WorldPop, IPUMS (no Uzbekistan coverage)","hudud.stat.uz - district (tuman) level only, 12 units for Tashkent","No Uzbek public source publishes population below tuman level. The 2026 census preliminary release stops at city level. This is a publication-policy limit, not a search failure.",Formal request to Milliy statistika qoʻmitasi or Toshkent shahar statistika boshqarmasi for the mahalla-level table of the 2026 census; alternatively the Mahalla va oilani qoʻllab-quvvatlash vazirligi holds registration-based counts.,YES - this is the main blocker,CRITICAL
All 585 mahallas,"mahalla_name_uz_cyrillic, mahalla_name_ru, mahalla_name_en",Etirof register returns an empty ruName for every Tashkent record; no Cyrillic or Russian variant field exists in the cadastre mahalla layer,Uzbek Latin name only (authoritative),"The official register simply does not carry the other scripts for Tashkent. Mechanical transliteration was deliberately NOT performed, because several names are proper nouns whose Russian forms differ from a letter-by-letter conversion (e.g. Olmazor / Алмазар, Sergeli / Сергели).",The 2023-2024 Kengash decision annexes on lex.uz are published in Cyrillic and would give authoritative Cyrillic forms. Retrieve those PDFs per district.,No,MEDIUM
All 585 mahallas,"mahalla office address, chairman, contact",data.egov.uz dataset 61134d82db32b99538e084df,"A 12-row dataset - one district-level coordinator, not a mahalla-level directory",No public mahalla-level directory was found.,"Request from Toshkent shahar hokimligi, or scrape district kengash.gov.uz sub-portals.",No,LOW
All 585 mahallas,"date_created, date_renamed, date_merged, legal_document_number per mahalla","lex.uz searched for the individual 2023-2024 ""aniq chegaralarini belgilash"" decisions; the decision numbers and dates are known (see 07_tashkent_admin_changes.csv) but the annex texts were not retrieved",Decision numbers and dates for all 12 districts; the full annex text for Bektemir only,The decisions are published on gov.uz/kengash.gov.uz behind per-district internal document IDs that were not enumerated for all districts.,"kengash.gov.uz/<district-slug>/documents, then the PDF API pattern https://api-ekengash.ecdn.uz/api/v2/domain/<slug>/documents/download-pdf/<id> (proven working for Bektemir, id 229609).",No,MEDIUM
Yashnobod district,status of Maʻrifat vs Oʻqchi Olmazor,Current cadastre register,Both 1726290048 Maʻrifat and 1726290050 Oʻqchi Olmazor appear as current,"Decision 417/47-5 of 12.01.2019 renamed Maʻrifat to Oʻqchi-Olmazor, yet both names are live in the 2026 register - either the rename applied to only part of the territory, or a new Maʻrifat was later created.","The Yashnobod 2024 boundary decision annex (VI-99-35-14-0-K/24, 02.04.2024).",No,MEDIUM
Yangihayot district,"identity of the ""Surum"" mahalla transferred in 2020",Current register of 30 Yangihayot mahallas,No mahalla named Surum is present,It was probably merged or renamed between 2020 and 2024.,The Yangihayot 2024 boundary decision annex.,No,LOW
All 12 districts,district boundary revision history as geometry,open.ngis.uz - only the current state is served,Current polygons only,The cadastre service carries no temporal versioning that is publicly queryable.,"The hectare schedules inside the 2019/2020/2021 legal acts allow a partial reconstruction of what changed, but not prior geometry.",No,LOW
Tashkent City,2026 census results by district and mahalla,"aholi.stat.uz, census.stat.uz (login-gated self-enumeration), stat.uz press centre",Preliminary national + regional release of 2026-07-07,Detailed tabulations had not been published as of 2026-09-18.,Monitor aholi.stat.uz; final tabulations are the single best future source for mahalla demographics.,No,HIGH
Tashkent City,master plan / zoning layer,mc.uz master-plan viewer and its ArcGIS Online backing service,"Service URL confirmed but returns ""Subscription is disabled, the item is not accessible""",The ArcGIS Online subscription behind the public master-plan map is inactive; media reported repeated downtime.,Use open.ngis.uz Hosted/TOSHKENT_GENPLAN_3857 and Hosted/TOSHKENT_NALOG_ZONE instead - both are live inside the cadastre geoportal and were not extracted in this pass.,No,HIGH
All entities,"households, families, age structure, births, deaths, migration at mahalla level",Same sweep as the population row,District-level age-sex structure via hudud.stat.uz /api/v1/passport/PopularityGenderAges/{soato}/,Not published below tuman level.,"Same formal request as the population row; consider commissioning a WorldPop-raster x mahalla-polygon zonal estimate as an interim modelled layer - but label it MODELLED, never official.",YES,HIGH
All entities,"socioeconomic fields (housing stock, schools, businesses, income, vehicles)","data.egov.uz Hudud category (598 datasets) and the ""tuman"" series (173 datasets); toshstat.uz publications",District-level business and demographic series on data.egov.uz,Not systematically available at mahalla level; this pass prioritised administrative geometry and demographics as instructed.,data.egov.uz apiClient/main/gettable per dataset; toshstat.uz XLSX bulletins.,No,LOW
